timestamp,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
1773251773,0, 1, 143771, 41, 75.25
1773251774,0, 4, 143771, 41, 75.35
1773251775,0, 1383, 143771, 42, 156.63
1773251776,0, 1383, 143771, 42, 118.43
1773251777,65, 1385, 143771, 44, 133.22
1773251779,61, 1385, 143771, 44, 160.68
1773251780,86, 1385, 143771, 44, 160.31
1773251781,41, 1385, 143771, 44, 160.14
1773251782,0, 1385, 143771, 44, 183.56
1773251783,0, 1385, 143771, 44, 159.87
1773251784,0, 1385, 143771, 44, 176.12
1773251785,27, 1385, 143771, 44, 171.20
1773251786,89, 1385, 143771, 46, 184.42
1773251787,89, 1385, 143771, 46, 169.95
1773251788,86, 1385, 143771, 46, 164.89
1773251789,88, 1385, 143771, 46, 163.46
1773251790,86, 1385, 143771, 47, 163.00
